,zipcode,salesforceurl,googleplexurl,stanfordurl,incomebyzipcodeurl,walkscoreurl,traveltimetostanford,traveltimetogoogleplex,traveltimetosf,medianhouseholdincome,averagehouseholdincome,percapitaincome,highincomehouseholds,walk,bike,transit,failedwalkscores,conveniencescore,shortest_travel
116,95051,"https://www.google.com/maps/dir/95051/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/95051/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/95051/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/95051,https://www.walkscore.com/CA/95051,18,12,48,125520,146764,54668,24,37,32,75,,75,12
117,94024,"https://www.google.com/maps/dir/94024/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94024/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94024/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94024,https://www.walkscore.com/CA/94024,11,14,44,237454,321996,106527,58,3,0,13,,13,11
118,94041,"https://www.google.com/maps/dir/94041/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94041/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94041/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94041,https://www.walkscore.com/CA/94041,13,7,43,129444,167803,75692,27,83,54,99,,99,7
119,94563,"https://www.google.com/maps/dir/94563/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94563/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94563/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94563,https://www.walkscore.com/CA/94563,47,46,19,208640,292512,107686,52,17,0,0,https://www.walkscore.com/CA/94563,17,19
120,94549,"https://www.google.com/maps/dir/94549/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94549/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94549/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94549,https://www.walkscore.com/CA/94549,50,48,22,159583,230189,85832,42,93,0,0,https://www.walkscore.com/CA/94549,93,22
121,94070,"https://www.google.com/maps/dir/94070/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94070/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94070/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94070,https://www.walkscore.com/CA/94070,17,18,33,172048,221289,84104,44,11,0,0,https://www.walkscore.com/CA/94070,11,17
122,94541,"https://www.google.com/maps/dir/94541/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94541/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94541/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94541,https://www.walkscore.com/CA/94541,27,27,26,74552,89523,31260,7,50,45,64,,64,26
123,94545,"https://www.google.com/maps/dir/94545/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94545/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94545/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94545,https://www.walkscore.com/CA/94545,29,29,33,83132,103843,31905,11,7,0,36,,36,29
124,94542,"https://www.google.com/maps/dir/94542/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94542/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94542/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94542,https://www.walkscore.com/CA/94542,32,31,32,108438,131544,42189,20,21,18,20,,21,31
125,94546,"https://www.google.com/maps/dir/94546/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94546/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94546/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94546,https://www.walkscore.com/CA/94546,34,33,28,91513,111029,42245,13,25,21,20,,25,28
126,94552,"https://www.google.com/maps/dir/94552/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94552/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94552/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94552,https://www.walkscore.com/CA/94552,33,33,28,151667,197532,66913,35,6,0,1,,6,28
