,PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,shortesttime,BEDS,BATHS,medianhouseholdincome,averagehouseholdincome,percapitaincome,highincomehouseholds,walk,price/psf,differential
59,Single Family Residential,336 Howth St,San Francisco,94112,895950,850,2495.0,1925,28,1.0,1.5,89355,115728,34344,14.6%,92,1054.0588235294117,225852.3806832009
60,Single Family Residential,594-598 Moscow St,San Francisco,94112,1050000,1650,1250.0,1927,28,4.0,2.0,89355,115728,34344,14.6%,92,636.3636363636364,85510.2785266668
61,Single Family Residential,145 Hazelwood Ave,San Francisco,94112,2495000,2530,3515.0,1922,28,5.0,4.0,89355,115728,34344,14.6%,92,986.1660079051384,659702.4237087537
62,Condo/Co-op,388 Faxon Ave #8,San Francisco,94112,899888,1263,,1985,28,2.0,2.0,89355,115728,34344,14.6%,92,712.5003958828187,-51919.65241597756
63,Multi-Family (2-4 Unit),2437-2441 Post St,San Francisco,94115,2499000,4260,3438.0,1895,30,9.0,3.0,114819,163371,83646,26.8%,98,586.6197183098592,-91917.33539770544
64,Condo/Co-op,2870 Washington St,San Francisco,94115,3349000,2550,,1900,30,3.0,3.0,114819,163371,83646,26.8%,98,1313.3333333333333,1326046.7748745286
65,Condo/Co-op,256 Presidio Ave #5,San Francisco,94115,1095000,964,,1902,30,2.0,1.0,114819,163371,83646,26.8%,98,1135.8921161825726,583368.5624424025
66,Condo/Co-op,1332 Scott St Unit B,San Francisco,94115,649000,709,,1986,30,1.0,1.0,114819,163371,83646,26.8%,98,915.3737658674189,188947.57982880867
67,Multi-Family (2-4 Unit),947-49 Broderick St,San Francisco,94115,1798000,2880,3044.0,1910,30,6.0,2.5,114819,163371,83646,26.8%,98,624.3055555555555,23957.369341575308
68,Condo/Co-op,2200 Pacific Ave Unit 10F,San Francisco,94115,1925000,1850,,1962,30,2.0,2.0,114819,163371,83646,26.8%,98,1040.5405405405406,479999.0965496511
69,Condo/Co-op,1880 Steiner St #409,SAN FRANCISCO,94115,1195000,983,,1999,30,2.0,2.0,114819,163371,83646,26.8%,98,1215.6663275686674,528806.6683712018
70,Condo/Co-op,3065 Clay St #11,San Francisco,94115,1295000,1286,,1926,30,1.0,1.0,114819,163371,83646,26.8%,98,1006.9984447900466,323399.27993639035
71,Condo/Co-op,2200 Pacific Ave Unit 3A,San Francisco,94115,1735000,1856,,1962,30,2.0,2.0,114819,163371,83646,26.8%,98,934.8060344827586,284560.50624351064
72,Condo/Co-op,2220 California St,San Francisco,94115,3589000,3350,,1907,30,4.0,4.0,114819,163371,83646,26.8%,98,1071.3432835820895,884269.0600333982
73,Condo/Co-op,99 Mirabel Ave,San Francisco,94110,1495000,1492,2100.0,1975,22,2.0,2.0,123576,166302,65610,30.7%,98,1002.0107238605898,234065.67074993043
74,Multi-Family (2-4 Unit),33-37 29th St,San Francisco,94110,3300000,4500,1572.0,1908,22,5.0,2.0,123576,166302,65610,30.7%,98,733.3333333333334,-184141.36126711918
75,Single Family Residential,2515 Folsom St,San Francisco,94110,1250000,1755,3672.0,1876,22,2.0,1.0,123576,166302,65610,30.7%,98,712.2507122507122,-111604.08619365562
76,Single Family Residential,675 Prentiss St,SAN FRANCISCO,94110,1125000,1204,1751.0,1959,22,3.0,1.0,123576,166302,65610,30.7%,98,934.3853820598007,410496.0641637044
77,Single Family Residential,1325 Cortland Ave,San Francisco,94110,1399000,1500,2374.0,1925,22,2.0,2.0,123576,166302,65610,30.7%,98,932.6666666666666,140366.55135405832
78,Single Family Residential,936 Esmeralda Ave,San Francisco,94110,2980000,2595,4430.0,1968,22,4.0,4.0,123576,166302,65610,30.7%,98,1148.3622350674373,810018.7851848304
79,Multi-Family (2-4 Unit),284-288 Bonview St,San Francisco,94110,1195000,1936,1794.0,1911,22,6.0,2.0,123576,166302,65610,30.7%,98,617.2520661157025,197889.5717534828
80,Single Family Residential,79 Bradford St,San Francisco,94110,1249000,1234,1750.0,1933,22,2.0,2.0,123576,166302,65610,30.7%,98,1012.1555915721232,229949.01476432546
81,Multi-Family (2-4 Unit),5-7 Duncan St,San Francisco,94110,1997000,2560,2021.0,1910,22,5.0,3.0,123576,166302,65610,30.7%,98,780.078125,152145.9148733504
82,Multi-Family (2-4 Unit),972-974 York St,San Francisco,94110,1795000,2573,2495.0,1900,22,5.0,2.0,123576,166302,65610,30.7%,98,697.6292265837544,59080.93221703824
83,Condo/Co-op,178 San Carlos St,San Francisco,94110,995000,994,,1906,22,2.0,1.0,123576,166302,65610,30.7%,98,1001.0060362173039,317459.0503611334
84,Condo/Co-op,19 Dorland St,San Francisco,94110,1398000,1626,,1909,22,3.0,1.5,123576,166302,65610,30.7%,98,859.7785977859778,251130.13224185957
85,Single Family Residential,1 Putnam St,San Francisco,94110,1790000,2180,972.0,1947,22,4.0,3.0,123576,166302,65610,30.7%,98,821.1009174311927,119008.09125593118
86,Single Family Residential,212 Putnam St,San Francisco,94110,1340000,1750,1750.0,1907,22,3.0,2.0,123576,166302,65610,30.7%,98,765.7142857142857,21710.61121984641
87,Multi-Family (2-4 Unit),72-74 Park St,San Francisco,94110,1495000,2144,2500.0,1907,22,4.0,2.0,123576,166302,65610,30.7%,98,697.294776119403,-16910.336626176257
88,Single Family Residential,152 Elsie St,San Francisco,94110,3100000,3025,1750.0,2014,22,4.0,3.5,123576,166302,65610,30.7%,98,1024.793388429752,590869.080382348
89,Condo/Co-op,3590 20th St #505,San Francisco,94110,2395000,1839,,2015,22,3.0,3.0,123576,166302,65610,30.7%,98,1302.3382272974443,856596.9833542944
90,Condo/Co-op,1190 Sacramento St #3,San Francisco,94108,1945000,1519,,1955,18,2.0,2.0,62173,100377,55302,11.0%,100,1280.4476629361423,594436.7612090998
91,Condo/Co-op,588 Minna St #204,San Francisco,94108,1236000,981,,2020,18,2.0,2.0,62173,100377,55302,11.0%,100,1259.9388379204893,360678.9906770387
92,Condo/Co-op,1177 California #1211,San Francisco,94108,585000,437,,1978,18,0.0,1.0,62173,100377,55302,11.0%,100,1338.6727688787184,2583.6709075698163
93,Condo/Co-op,4125 24th St #2,San Francisco,94114,895000,756,3144.0,1965,23,2.0,1.0,155551,211933,105246,38.9%,90,1183.8624338624338,439162.0913688793
94,Single Family Residential,53 Clarendon Ave,San Francisco,94114,4495000,3500,4656.0,1920,23,4.0,4.0,155551,211933,105246,38.9%,90,1284.2857142857142,1531112.3683724632
95,Condo/Co-op,53 States St,San Francisco,94114,2395000,2170,,2019,23,3.0,3.5,155551,211933,105246,38.9%,90,1103.6866359447004,513643.8633743136
96,Single Family Residential,680 Sanchez St,San Francisco,94114,3500000,2152,2240.0,1909,23,3.0,3.0,155551,211933,105246,38.9%,90,1626.3940520446097,1715378.851255428
97,Condo/Co-op,251 Collingwood St,San Francisco,94114,1495000,1410,,1906,23,1.0,1.0,155551,211933,105246,38.9%,90,1060.2836879432625,294114.3536035258
98,Single Family Residential,253 Collingwood St,San Francisco,94114,4495000,4015,3025.0,1906,23,5.0,4.0,155551,211933,105246,38.9%,90,1119.5516811955167,1230487.8363027181
99,Single Family Residential,4448 24th St,SAN FRANCISCO,94114,1795000,1414,2944.0,1910,23,2.0,2.0,155551,211933,105246,38.9%,90,1269.4483734087694,634429.4261044674
100,Multi-Family (2-4 Unit),4632 25th,San Francisco,94114,2299999,2926,2705.0,1947,23,2.0,2.0,155551,211933,105246,38.9%,90,786.0557074504443,-238165.05845876876
101,Multi-Family (2-4 Unit),2047 15th St,San Francisco,94114,2800000,4788,2500.0,1905,23,8.0,4.0,155551,211933,105246,38.9%,90,584.7953216374269,-674453.3880131785
