SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,999 Green St #2001,San Francisco,CA,94109,2588000,2,2.0,Russian Hill,1300,,1964,5,1991,1881,Active,,,http://www.redfin.com/CA/San-Francisco/999-Green-St-94133/unit-2001/home/542575,San Francisco MLS,493711,N,Y,37.7984466,-122.4152176
MLS Listing,,Condo/Co-op,901 Bush St #104,San Francisco,CA,94109,569000,0,1.0,Downtown,,,1909,5,,380,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/901-Bush-St-94109/unit-104/home/21966730,San Francisco MLS,493829,N,Y,37.7895221,-122.4122771
MLS Listing,,Condo/Co-op,200 Townsend St #49,San Francisco,CA,94107,998000,1,2.0,South Beach,931,,2003,5,1072,637,Active,,,http://www.redfin.com/CA/San-Francisco/200-Townsend-St-94107/unit-49/home/2070293,San Francisco MLS,493795,N,Y,37.7788841,-122.3933041
MLS Listing,,Single Family Residential,155 Caselli Ave,San Francisco,CA,94114,2795000,3,2.0,Eureka Valley/Dolore,,,,5,,,Active,,,http://www.redfin.com/CA/San-Francisco/155-Caselli-Ave-94114/home/1840546,San Francisco MLS,493828,N,Y,37.759413,-122.44208
MLS Listing,,Condo/Co-op,731 47th Ave #2,San Francisco,CA,94121,970000,2,1.0,Outer Richmond,1125,,1929,5,862,400,Active,January-23-2020 04:30 PM,January-23-2020 05:30 PM,http://www.redfin.com/CA/San-Francisco/731-47th-Ave-94121/unit-2/home/11743527,San Francisco MLS,493811,N,Y,37.7745632,-122.5083036
MLS Listing,,Condo/Co-op,2255 Franklin St,San Francisco,CA,94109,2498000,3,3.0,Pacific Heights,2564,,1900,5,974,,Active,,,http://www.redfin.com/CA/San-Francisco/2255-Franklin-St-94109/home/563624,San Francisco MLS,493812,N,Y,37.795231,-122.425328
MLS Listing,,Condo/Co-op,650 Delancey St #216,San Francisco,CA,94107,1875000,2,2.0,South Beach,1565,,1996,5,1198,653,Active,January-26-2020 01:00 PM,January-26-2020 03:00 PM,http://www.redfin.com/CA/San-Francisco/650-Delancey-St-94107/unit-216/home/12396166,San Francisco MLS,493810,N,Y,37.7827748,-122.3896883
MLS Listing,,Condo/Co-op,2230 Mason St Unit M202,San Francisco,CA,94133,1150000,2,2.0,North Beach,1071,,2001,5,1074,757,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/2230-Mason-St-94133/unit-M202/home/910018,San Francisco MLS,493796,N,Y,37.8043048,-122.4130191
MLS Listing,,Townhouse,1177 Tennessee St,San Francisco,CA,94107,1850000,4,3.0,Central Waterfront,1876,,2009,5,986,636,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/1177-Tennessee-St-94107/home/40138232,San Francisco MLS,493781,N,Y,37.7570363,-122.3888585
MLS Listing,,Single Family Residential,50 Mirando Way,San Francisco,CA,94112,1495000,4,3.0,Bernal Heights,1865,1925,1965,5,802,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/50-Mirando-Way-94112/home/1389733,San Francisco MLS,493803,N,Y,37.7325096,-122.4289295
