SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,1 Skyline Blvd,OAKLAND,CA,94619,1150000,,,OAKLAND,,317552,,92,,,Active,,,http://www.redfin.com/CA/Oakland/1-Skyline-Blvd-94619/home/169518741,MLSListings,ML81773374,N,Y,37.7874533,-122.1496573
MLS Listing,,Vacant Land,5814 Skyline Blvd,Oakland,CA,94611,399000,,,Oakland,,28429,,92,,,Active,,,http://www.redfin.com/CA/Oakland/5814-Skyline-Blvd-94611/home/22807071,Bridge MLS,40886729,N,Y,37.853995,-122.212241
MLS Listing,,Vacant Land,5980 Bagshotte Dr,OAKLAND,CA,94611,400000,,,OAKLAND,,15443,,92,,,Active,,,http://www.redfin.com/CA/Oakland/5980-Bagshotte-Dr-94611/home/22723789,MLSListings,ML81773289,N,Y,37.825492,-122.196567
MLS Listing,,Single Family Residential,3751 Randolph Ave,Oakland,CA,94602,749900,2,1.0,Oakland,1071,2070,1924,94,700,,Active,,,http://www.redfin.com/CA/Oakland/3751-Randolph-Ave-94602/home/786154,Bridge MLS,40886579,N,Y,37.8030789,-122.2244497
MLS Listing,,Multi-Family (2-4 Unit),2630 seminary,Oakland,CA,94605,750000,,,Oakland,2300,4400,1935,94,326,,Active,,,http://www.redfin.com/CA/Oakland/2630-Seminary-Ave-94605/home/167081409,Bridge MLS,40886572,N,Y,37.771866,-122.189493
MLS Listing,,Single Family Residential,819 & 821 30th St,OAKLAND,CA,94608,1599000,5,3.5,OAKLAND,2225,4214,2019,95,719,,Active,,,http://www.redfin.com/CA/Oakland/821-30th-St-94608/home/169998946,MLSListings,ML81773099,N,Y,37.8199604,-122.2742622
MLS Listing,,Multi-Family (2-4 Unit),546 25th St,Oakland,CA,94612,1100000,6,4.0,Oakland,3014,4053,1907,96,365,,Active,,,http://www.redfin.com/CA/Oakland/546-25th-St-94612/home/525513,Bridge MLS,40886439,N,Y,37.8148115,-122.269886
MLS Listing,,Vacant Land,6518 San Pablo Ave,Oakland,CA,94608,1200000,,,Oakland,,4939,,96,,,Active,,,http://www.redfin.com/CA/Oakland/6518-San-Pablo-Ave-94608/home/79095139,Bridge MLS,40886413,N,Y,37.848546,-122.285111
MLS Listing,,Vacant Land,7003 Buckingham Blvd,Oakland,CA,94705,200000,,,Oakland,,7382,,96,,,Active,,,http://www.redfin.com/CA/Berkeley/7003-Buckingham-Blvd-94705/home/169466932,San Francisco MLS,491680,N,Y,37.8596667,-122.2233239
MLS Listing,,Vacant Land,,Oakland,CA,94603,200000,,,Oakland,,7382,,96,,,Active,,,http://www.redfin.com/CA/Oakland/Undisclosed-address-94705/home/22679264,Bridge MLS,40886367,N,Y,37.860564,-122.222489
MLS Listing,,Single Family Residential,2305 Auseon Ave,Oakland,CA,94605,449950,2,1.0,Alameda County,1052,3500,1921,96,428,,Active,,,http://www.redfin.com/CA/Oakland/2305-Auseon-Ave-94605/home/1517158,BAREIS,21927005,N,Y,37.7574203,-122.1658018
MLS Listing,,Condo/Co-op,424 Staten Ave #104,Oakland,CA,94610,470000,1,1.0,Adams Point,753,,1963,96,624,405,Active,,,http://www.redfin.com/CA/Oakland/424-Staten-Ave-94610/unit-104/home/1157493,Bridge MLS,40886328,N,Y,37.8096609,-122.2532916
MLS Listing,,Single Family Residential,819 30th St,Oakland,CA,94608,1599000,5,3.5,Oakland,2230,4214,1910,97,717,,Active,,,http://www.redfin.com/CA/Oakland/819-30th-St-94608/home/1321654,Bridge MLS,40886288,N,Y,37.8199632,-122.274228
MLS Listing,,Single Family Residential,1307 58th St,Oakland,CA,94621-3905,455000,2,1.0,Oakland,912,3520,1919,97,499,,Active,,,http://www.redfin.com/CA/Oakland/1307-58th-Ave-94621/home/1363357,Bridge MLS,40886173,N,Y,37.7649087,-122.2014952
MLS Listing,,Vacant Land,0 WOODROW Dr,Oakland,CA,94611-1434,399000,,,Oakland,,5789,,98,,,Active,,,http://www.redfin.com/CA/Oakland/Woodrow-Dr-94611/home/22661794,Bridge MLS,40886024,N,Y,37.832446,-122.195622
