SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1400 Pinnacle Ct #112,Richmond,CA,94801,699000,2,2.0,Brickyard Landng,1463,,2001,12,478,648,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Richmond/1400-Pinnacle-Ct-94801/unit-112/home/23310442,Bridge MLS,40892038,N,Y,37.9139428,-122.3786072
MLS Listing,,Single Family Residential,68 Sea Isle Dr,Richmond,CA,94804,868000,3,3.0,Marina Bay,1510,3149,1996,13,575,200,Active,,,http://www.redfin.com/CA/Richmond/68-Sea-Isle-Dr-94804/home/1239972,Bridge MLS,40891893,N,Y,37.9108201,-122.3382302
MLS Listing,,Single Family Residential,4724 Castilla Ave,Richmond,CA,94804,429000,3,1.5,Richmond,1186,3000,1957,14,362,,Active,,,http://www.redfin.com/CA/Richmond/4724-Castilla-Ave-94804/home/1287950,Bridge MLS,40891838,N,Y,37.924497,-122.324839
MLS Listing,,Single Family Residential,846 31St St,Richmond,CA,94804,528000,4,2.0,Ne Richmond,1505,5000,1941,14,351,,Active,,,http://www.redfin.com/CA/Richmond/846-31st-St-94804/home/1223063,Bridge MLS,40891783,N,Y,37.9445391,-122.3369904
MLS Listing,,Single Family Residential,1525 Latitudes Way,Richmond,CA,94804,778990,2,2.5,Marina Bay,1713,,2019,14,455,155,Active,,,http://www.redfin.com/CA/Richmond/1525-Latitudes-Way-94804/home/168832028,Bridge MLS,40891758,N,Y,37.920715,-122.355477
MLS Listing,,Condo/Co-op,1564 Seawind Dr Lot 60,Richmond,CA,94804,697990,3,3.0,Marina Bay,1803,,2019,14,387,378,Active,,,http://www.redfin.com/CA/Richmond/1564-Seawind-Dr-94804/unit-60/home/170231294,Bridge MLS,40891755,N,Y,37.9209523,-122.3542559
MLS Listing,,Vacant Land,10 Garden Dr,Kensington,CA,94708,564000,,,Kensington,,7841,,16,,,Active,,,http://www.redfin.com/CA/Kensington/10-Garden-Dr-94708/home/169045118,Bridge MLS,40891581,N,Y,37.9105961,-122.2755795
MLS Listing,,Single Family Residential,2311 Carlson Blvd,Richmond,CA,94804,799000,3,3.0,Richmond Annex,1725,5000,1922,18,463,,Active,,,http://www.redfin.com/CA/Richmond/2311-Carlson-Blvd-94804/home/1933936,Bridge MLS,40891538,N,Y,37.9074015,-122.3086478
MLS Listing,,Single Family Residential,460 31St St,Richmond,CA,94804,495000,2,1.0,Ne Richmond,897,2500,1961,20,552,,Active,January-25-2020 01:30 PM,January-25-2020 03:30 PM,http://www.redfin.com/CA/Richmond/460-31st-St-94804/home/1416393,Bridge MLS,40891395,N,Y,37.9368413,-122.3387948
MLS Listing,,Single Family Residential,5524 Plumas Ave,Richmond,CA,94804,465000,1,1.0,Richmond Annex,550,1750,1946,20,845,,Active,,,http://www.redfin.com/CA/Richmond/5524-Plumas-Ave-94804/home/1559474,Bridge MLS,40891389,N,Y,37.9077644,-122.3136194
MLS Listing,,Townhouse,1522 Nevin Plz,Richmond,CA,94801,499990,3,3.5,Richmond,1613,1027,2003,21,310,285,Active,,,http://www.redfin.com/CA/Richmond/1522-Nevin-Plz-94801/home/17169913,Bridge MLS,40891326,N,Y,37.936686,-122.354677
MLS Listing,,Multi-Family (2-4 Unit),410 22nd St,Richmond,CA,94801,998000,4,2.0,Ne Richmond,1854,5350,1922,32,538,,Active,,,http://www.redfin.com/CA/Richmond/410-22nd-St-94801/unit-418/home/1658543,Bridge MLS,40891093,N,Y,37.9370776,-122.3483548
MLS Listing,,Single Family Residential,27 Waterline Pl,Point Richmond,CA,94801,930000,2,2.5,Contra Costa,2076,,2019,33,448,467,Active,,,http://www.redfin.com/CA/Richmond/27-Waterline-Pl-94801/home/170149869,BAREIS,21930621,N,Y,37.908897,-122.374557
MLS Listing,,Single Family Residential,3033 Rheem Ave,Richmond,CA,94804,650000,4,4.0,Andrade,2146,2500,1950,33,303,,Active,,,http://www.redfin.com/CA/Richmond/3033-Rheem-Ave-94804/home/1750133,Bridge MLS,40891041,N,Y,37.950105,-122.337188
MLS Listing,,Vacant Land,0 W Barrett Ave,Richmond,CA,94801,299000,,,Contra Costa,,6050,,36,,,Active,,,http://www.redfin.com/CA/Richmond/W-Barrett-Ave-94801/home/45115285,BAREIS,21930361,N,Y,37.938217,-122.368851
MLS Listing,,Single Family Residential,5715 Bayview Ave,Richmond,CA,94804,599900,2,1.0,Richmond Annex,1287,5000,1901,42,466,,Active,,,http://www.redfin.com/CA/Richmond/5715-Bayview-Ave-94804/home/1054976,Bridge MLS,40890605,N,Y,37.9158469,-122.314937
MLS Listing,,Single Family Residential,339 S 29th St,Richmond,CA,94804,489000,4,2.0,South Richmond,1204,2730,1971,42,406,,Active,,,http://www.redfin.com/CA/Richmond/339-S-29th-St-94804/home/1871846,Bridge MLS,40890603,N,Y,37.9271513,-122.3423038
MLS Listing,,Single Family Residential,5518 San Pablo Dam Rd,El Sobrante,CA,94803-3413,525000,3,2.0,El Sobrante,1482,8400,1983,42,354,,Active,,,http://www.redfin.com/CA/El-Sobrante/5518-San-Pablo-Dam-Rd-94803/home/1131718,Bridge MLS,40890599,N,Y,37.958367,-122.280995
MLS Listing,,Single Family Residential,69 Seagull Dr,Richmond,CA,94804,900000,4,2.5,Breakers,1955,3530,1991,42,460,115,Active,,,http://www.redfin.com/CA/Richmond/69-Seagull-Dr-94804/home/1953587,Bridge MLS,40890551,N,Y,37.9107882,-122.3412411
MLS Listing,,Condo/Co-op,1608 Northshore Dr,Richmond,CA,94804-2577,763900,3,2.5,Richmond,1973,2500,2006,48,387,332,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Richmond/1608-Northshore-Dr-94804/home/12124201,Bridge MLS,40890215,N,Y,37.917038,-122.352968
MLS Listing,,Single Family Residential,509 Tremont Ave,Point Richmond,CA,94801,799000,3,2.0,Point Richmond,1118,4500,1935,51,715,,Active,,,http://www.redfin.com/CA/Richmond/509-Tremont-Ave-94801/home/1344110,Bridge MLS,40890012,N,Y,37.9272315,-122.3907761
